沿線,駅,所在地_市区町村,間取り,専有面積(m^2),賃料,徒歩分数(分),件数,lon,lat,賃料（万円）
横浜みなとみらい線,みなとみらい駅,横浜市中区,1K,22.117027027027028,64054.05405405405,14.64864864864865,37.0,139.632386,35.458028,6.0
横浜みなとみらい線,みなとみらい駅,横浜市西区,1K,21.93701754385965,77929.82456140351,10.842105263157896,57.0,139.632386,35.458028,8.0
横浜みなとみらい線,元町・中華街駅,横浜市中区,1K,23.616466876971607,70055.20504731861,12.64804469273743,1268.0,139.650446,35.44243,7.0
横浜みなとみらい線,元町・中華街駅,横浜市南区,1K,19.71857142857143,50000.0,21.0,7.0,139.650446,35.44243,5.0
横浜みなとみらい線,新高島駅,横浜市神奈川区,1K,24.874000000000002,80000.0,13.6,5.0,139.626499,35.46192,8.0
横浜みなとみらい線,新高島駅,横浜市西区,1K,21.508214285714285,82250.0,9.285714285714286,28.0,139.626499,35.46192,8.0
横浜みなとみらい線,日本大通り駅,横浜市中区,1K,24.998258293838862,76895.73459715639,10.327790973871734,844.0,139.642608,35.446821,8.0
横浜みなとみらい線,日本大通り駅,横浜市南区,1K,21.3,60000.0,21.35,22.0,139.642608,35.446821,6.0
横浜みなとみらい線,馬車道駅,横浜市中区,1K,23.469922480620156,72945.73643410853,9.72279792746114,387.0,139.636175,35.450135,7.0
横浜みなとみらい線,馬車道駅,横浜市西区,1K,21.063,73100.0,17.4,10.0,139.636175,35.450135,7.0
グリーンライン,センター北駅,横浜市都筑区,1K,28.173594771241834,75751.63398692811,18.679738562091504,153.0,139.578386,35.553534,8.0
グリーンライン,センター南駅,横浜市都筑区,1K,27.597839506172843,70802.46913580247,17.64,162.0,139.574325,35.545863,7.0
JR横浜線,中山駅,横浜市緑区,1K,22.940818713450295,60692.98245614035,14.093333333333334,171.0,139.539692,35.514745,6.0
JR横浜線,中山駅,横浜市都筑区,1K,23.851428571428574,70000.0,27.0,14.0,139.539692,35.514745,7.0
グリーンライン,北山田駅,横浜市都筑区,1K,27.759277652370205,74875.84650112868,9.882618510158014,443.0,139.592258,35.561077,7.0
グリーンライン,川和町駅,横浜市緑区,1K,22.26282738095238,60866.07142857143,27.435736677115987,336.0,139.548745,35.52802,6.0
グリーンライン,川和町駅,横浜市都筑区,1K,24.19058823529412,66617.64705882352,13.817164179104477,272.0,139.548745,35.52802,7.0
グリーンライン,川和町駅,横浜市青葉区,1K,32.05391304347826,63478.260869565216,22.3,23.0,139.548745,35.52802,6.0
グリーンライン,日吉本町駅,横浜市港北区,1K,21.275189451348897,60400.121248863295,17.127730582524272,3299.0,139.633554,35.549883,6.0
グリーンライン,日吉本町駅,横浜市鶴見区,1K,24.4075,65000.0,30.75,4.0,139.633554,35.549883,6.0
グリーンライン,東山田駅,横浜市港北区,1K,24.171627118644068,64067.79661016949,19.224489795918366,295.0,139.604369,35.554302,6.0
グリーンライン,東山田駅,横浜市都筑区,1K,25.435297805642634,69874.60815047022,13.92282958199357,319.0,139.604369,35.554302,7.0
グリーンライン,都筑ふれあいの丘駅,横浜市緑区,1K,20.57,58714.28571428572,27.666666666666668,7.0,139.561359,35.536583,6.0
グリーンライン,都筑ふれあいの丘駅,横浜市都筑区,1K,26.767916666666668,67410.71428571429,13.9472049689441,336.0,139.561359,35.536583,7.0
グリーンライン,都筑ふれあいの丘駅,横浜市青葉区,1K,20.646666666666665,50000.0,29.0,3.0,139.561359,35.536583,5.0
グリーンライン,高田駅,横浜市港北区,1K,21.91433436532508,59783.28173374613,13.393808049535604,1615.0,139.619944,35.549713,6.0
グリーンライン,高田駅,横浜市都筑区,1K,23.049302325581394,67209.30232558139,23.27906976744186,43.0,139.619944,35.549713,7.0
金沢シーサイドライン,並木中央駅,横浜市金沢区,1K,21.29689655172414,53103.44827586207,24.051724137931036,58.0,139.642945,35.365505,5.0
金沢シーサイドライン,並木北駅,横浜市金沢区,1K,20.376060606060605,46969.69696969697,19.848484848484848,33.0,139.642743,35.372015,5.0
金沢シーサイドライン,八景島駅,横浜市金沢区,1K,21.543,61333.333333333336,13.166666666666666,30.0,139.64079,35.340914,6.0
金沢シーサイドライン,南部市場駅,横浜市磯子区,1K,21.606363636363636,58181.818181818184,20.210526315789473,77.0,139.633163,35.380192,6.0
金沢シーサイドライン,南部市場駅,横浜市金沢区,1K,20.288800000000002,51466.666666666664,21.16,75.0,139.633163,35.380192,5.0
金沢シーサイドライン,市大医学部駅,横浜市金沢区,1K,26.724,58000.0,14.6,5.0,139.650156,35.343966,6.0
金沢シーサイドライン,幸浦駅,横浜市金沢区,1K,21.365454545454547,46363.63636363636,23.363636363636363,11.0,139.643706,35.358406,5.0
JR根岸線,新杉田駅,横浜市磯子区,1K,21.05903743315508,57807.48663101604,15.101604278074866,187.0,139.619483,35.386863,6.0
