物件CD,賃料,管理費,敷金,礼金,保証金,敷引・償却
100346675305,60000.0,20000.0,,60000.0,,
100346674124,60000.0,20000.0,,60000.0,,
100346691241,60000.0,20000.0,,60000.0,,
100346675091,60000.0,20000.0,,60000.0,,
100346623795,60000.0,20000.0,,60000.0,,
100346623036,60000.0,20000.0,,60000.0,,
100329331322,70000.0,50000.0,,70000.0,,
100347559268,50000.0,20000.0,50000.0,50000.0,,
100346837613,70000.0,50000.0,,,,
100346764754,70000.0,50000.0,,,,
100347044860,70000.0,50000.0,,70000.0,,
100347211664,70000.0,50000.0,,70000.0,,
100343019151,70000.0,50000.0,,,,
100343464947,70000.0,50000.0,,,,
100343523277,80000.0,50000.0,,170000.0,,
100343523278,80000.0,50000.0,,170000.0,,
100343523280,90000.0,50000.0,,180000.0,,
100347589856,60000.0,50000.0,,60000.0,,
100268224310,50000.0,50000.0,,50000.0,,
100347609823,100000.0,100000.0,100000.0,200000.0,,
100347609608,100000.0,100000.0,100000.0,200000.0,,
100347606714,100000.0,100000.0,100000.0,200000.0,,
100347077899,100000.0,100000.0,100000.0,200000.0,,
100346790124,100000.0,100000.0,100000.0,200000.0,,
100346790317,100000.0,100000.0,100000.0,200000.0,,
100346764798,100000.0,100000.0,100000.0,200000.0,,
100346762837,100000.0,100000.0,100000.0,200000.0,,
100347024567,100000.0,100000.0,100000.0,200000.0,,
100347101769,100000.0,100000.0,100000.0,200000.0,,
100346931956,100000.0,100000.0,100000.0,200000.0,,
100346808938,100000.0,100000.0,100000.0,200000.0,,
100346584733,60000.0,40000.0,,,,
100345890775,60000.0,40000.0,,,,
100346315446,60000.0,40000.0,,,,
100346587917,60000.0,40000.0,,,,
100346309681,60000.0,40000.0,,,,
100346864194,60000.0,20000.0,,60000.0,,
100346635599,60000.0,20000.0,,60000.0,,
100341643953,60000.0,40000.0,,,,
100333674774,60000.0,40000.0,,,,
100333673001,60000.0,40000.0,,,,
100345637822,60000.0,30000.0,60000.0,60000.0,,
100345713127,60000.0,30000.0,60000.0,60000.0,,
100344821830,60000.0,40000.0,,,,
100346584278,70000.0,50000.0,,70000.0,,
100346431354,70000.0,50000.0,,70000.0,,
100346317389,70000.0,50000.0,,140000.0,,
100347196155,70000.0,50000.0,,140000.0,,
100343216576,60000.0,40000.0,,60000.0,,
100346587466,60000.0,50000.0,,60000.0,,
100346315484,60000.0,50000.0,,60000.0,,
100347195595,70000.0,50000.0,,150000.0,,
100346315758,70000.0,50000.0,,150000.0,,
100346584870,70000.0,50000.0,,70000.0,,
100346315526,70000.0,50000.0,,70000.0,,
100346588059,70000.0,50000.0,,,,
100346309573,70000.0,50000.0,,,,
100346584480,70000.0,50000.0,,70000.0,,
100346431438,70000.0,50000.0,,70000.0,,
100346584374,70000.0,30000.0,,70000.0,,
100346314584,70000.0,30000.0,,70000.0,,
100314323395,70000.0,50000.0,,70000.0,,
100279680926,70000.0,50000.0,,,,
100285636025,70000.0,50000.0,,,,
100323069224,50000.0,30000.0,,,,
100343469815,70000.0,50000.0,,140000.0,,
100343697308,70000.0,50000.0,,140000.0,,
100343630408,70000.0,50000.0,,140000.0,,
100343469712,70000.0,50000.0,,140000.0,,
100346588756,60000.0,50000.0,,60000.0,,
100346312122,60000.0,50000.0,,60000.0,,
100346585458,70000.0,30000.0,,70000.0,,
100346312475,70000.0,30000.0,,70000.0,,
100346587135,70000.0,50000.0,,,,
100346588008,70000.0,30000.0,,70000.0,,
100346309073,70000.0,30000.0,,70000.0,,
100343469818,70000.0,50000.0,,150000.0,,
100343523298,70000.0,50000.0,,150000.0,,
100343630382,70000.0,50000.0,,150000.0,,
100345598008,70000.0,50000.0,,150000.0,,
100346584252,80000.0,50000.0,,,,
100346431631,80000.0,50000.0,,,,
100346628898,60000.0,60000.0,60000.0,60000.0,,
100347357084,70000.0,30000.0,,70000.0,,
100327795007,60000.0,20000.0,60000.0,60000.0,,
100345890623,70000.0,30000.0,,70000.0,,
100347357085,70000.0,30000.0,,70000.0,,
100137163289,60000.0,50000.0,60000.0,30000.0,,
100343469792,70000.0,50000.0,,150000.0,,
100333072333,80000.0,50000.0,,80000.0,,
100346584543,70000.0,50000.0,,,,
100346584482,70000.0,50000.0,,70000.0,,
100345890655,70000.0,50000.0,,,,
100346309207,70000.0,50000.0,,70000.0,,
100346315469,70000.0,50000.0,,,,
100347357086,70000.0,30000.0,,70000.0,,
100346589024,70000.0,50000.0,,70000.0,,
100346762877,70000.0,50000.0,,,,
100346827036,70000.0,50000.0,,70000.0,,
100346924739,70000.0,50000.0,,70000.0,,
100346873903,70000.0,50000.0,,70000.0,,
100347357066,70000.0,50000.0,,70000.0,,
100346922191,70000.0,50000.0,,70000.0,,
100346873622,70000.0,50000.0,,70000.0,,
100346866887,70000.0,50000.0,,70000.0,,
100346314078,70000.0,50000.0,,70000.0,,
